Iteration	Cds	Chromosome	Downstream	Exon	Gene	Intergenic	Intron	RareAminoAcid	SpliceSiteAcceptor	SpliceSiteDonor	Transcript	Upstream	Utr3prime	Utr5prime
0	0	10000	2950	2104	4935	3506	3573	0	289	317	4935	3143	331	337
1	0	10000	2958	2182	5048	3396	3636	0	310	276	5048	3231	382	340
2	0	10000	3010	2189	5085	3411	3654	0	280	294	5085	3205	370	333
3	0	10000	2993	2221	5050	3373	3609	0	284	333	5050	3166	422	315
4	0	10000	2934	2198	4960	3413	3508	0	282	301	4960	3149	373	354
5	0	10000	2973	2112	4899	3504	3511	0	286	308	4899	3116	384	338
6	0	10000	2933	2100	4868	3479	3531	0	314	306	4868	3128	367	308
7	0	10000	2977	2202	4910	3467	3444	0	298	313	4910	3196	408	329
8	0	10000	2944	2179	4991	3418	3592	0	323	306	4991	3181	438	344
9	0	10000	3000	2170	4922	3493	3501	0	308	299	4922	3175	403	341
10	0	10000	2990	2169	4941	3411	3498	0	267	302	4941	3142	355	336
11	0	10000	2971	2174	5011	3368	3585	0	299	297	5011	3188	353	354
12	0	10000	2984	2190	5012	3436	3563	0	256	283	5012	3189	385	364
13	0	10000	3007	2194	4995	3390	3547	0	278	312	4995	3172	375	347
14	0	10000	2999	2180	5031	3356	3638	0	291	340	5031	3154	375	362
15	0	10000	2982	2156	5016	3491	3623	0	286	308	5016	3209	394	341
16	0	10000	2965	2211	5024	3393	3574	0	268	314	5024	3216	416	358
17	0	10000	2893	2118	4849	3477	3486	0	282	285	4849	3229	366	325
18	0	10000	2905	2139	4969	3403	3566	0	264	321	4969	3082	391	344
19	0	10000	2875	2115	5004	3439	3620	0	311	282	5004	3140	382	326
20	0	10000	2923	2154	4941	3461	3540	0	287	323	4941	3113	370	325
21	0	10000	3037	2109	4992	3383	3615	0	292	283	4992	3128	406	313
22	0	10000	2986	2169	4960	3466	3488	0	264	284	4960	3174	391	317
23	0	10000	2995	2161	4966	3466	3579	0	296	302	4966	3193	394	317
24	0	10000	2963	2135	4980	3439	3607	0	283	325	4980	3188	381	320
25	0	10000	2885	2119	4957	3438	3557	0	272	297	4957	3170	398	293
26	0	10000	2947	2178	4979	3409	3567	0	306	308	4979	3189	368	352
27	0	10000	2939	2075	4954	3469	3625	0	300	280	4954	3141	366	338
28	0	10000	2992	2181	4906	3495	3521	0	314	306	4906	3179	366	337
29	0	10000	3022	2222	5022	3409	3562	0	286	312	5022	3267	411	356
30	0	10000	2881	2122	4982	3452	3599	0	277	283	4982	3214	413	322
31	0	10000	2951	2174	4934	3407	3518	0	295	310	4934	3240	382	346
32	0	10000	2992	2238	5015	3422	3572	0	313	326	5015	3206	418	327
33	0	10000	2928	2144	4994	3412	3599	0	303	302	4994	3160	364	323
34	0	10000	2968	2171	4921	3444	3535	0	299	313	4921	3174	376	364
35	0	10000	2901	2115	4957	3450	3556	0	283	293	4957	3173	341	335
36	0	10000	2899	2103	4957	3456	3579	0	285	272	4957	3133	361	334
37	0	10000	2977	2118	4971	3422	3588	0	279	268	4971	3174	372	338
38	0	10000	2972	2152	4919	3485	3489	0	283	315	4919	3243	349	344
39	0	10000	3053	2175	4972	3411	3539	0	283	322	4972	3193	404	363
40	0	10000	2882	2121	4906	3439	3537	0	272	323	4906	3111	354	338
41	0	10000	3014	2125	4956	3425	3604	0	314	299	4956	3108	392	325
42	0	10000	2993	2173	4979	3408	3557	0	265	296	4979	3169	392	318
43	0	10000	3055	2226	4988	3458	3508	0	306	296	4988	3294	379	346
44	0	10000	2977	2160	4948	3478	3554	0	295	320	4948	3130	366	324
45	0	10000	2901	2135	4946	3415	3549	0	308	285	4946	3206	376	320
46	0	10000	2952	2197	5033	3395	3615	0	289	310	5033	3207	385	337
47	0	10000	2949	2115	4953	3437	3566	0	295	309	4953	3184	351	322
48	0	10000	2970	2161	5005	3424	3638	0	314	319	5005	3157	361	347
49	0	10000	2933	2126	4873	3541	3453	0	266	313	4873	3159	355	323
50	0	10000	2974	2198	4998	3395	3548	0	296	312	4998	3130	428	337
51	0	10000	2984	2077	4939	3420	3559	0	254	307	4939	3139	382	305
52	0	10000	2923	2129	4903	3412	3523	0	277	339	4903	3084	383	314
53	0	10000	3023	2183	5015	3441	3593	0	299	312	5015	3191	404	360
54	0	10000	3028	2228	5062	3399	3612	0	297	296	5062	3242	421	333
55	0	10000	3048	2157	4944	3477	3523	0	286	310	4944	3104	419	312
56	0	10000	2955	2147	4939	3448	3549	0	322	293	4939	3144	396	305
57	0	10000	2920	2157	4933	3446	3549	0	289	322	4933	3096	394	339
58	0	10000	2931	2189	5024	3350	3585	0	288	306	5024	3147	387	320
59	0	10000	2962	2125	4981	3387	3586	0	299	310	4981	3189	379	294
60	0	10000	3047	2226	5001	3449	3548	0	303	305	5001	3212	429	366
61	0	10000	3063	2155	4972	3472	3619	0	328	312	4972	3215	395	310
62	0	10000	3074	2168	4978	3475	3575	0	297	324	4978	3191	403	318
63	0	10000	2953	2139	4967	3475	3572	0	290	301	4967	3170	394	310
64	0	10000	2945	2130	4967	3387	3551	0	259	305	4967	3186	386	337
65	0	10000	2960	2091	4867	3497	3506	0	287	290	4867	3175	382	348
66	0	10000	3018	2245	5045	3429	3576	0	289	325	5045	3276	411	356
67	0	10000	2952	2176	4944	3424	3515	0	308	300	4944	3175	372	312
68	0	10000	2982	2147	5015	3428	3607	0	300	314	5015	3207	384	341
69	0	10000	2952	2119	4880	3451	3487	0	260	322	4880	3126	382	325
70	0	10000	3012	2195	4936	3472	3486	0	292	305	4936	3212	407	316
71	0	10000	2966	2174	4995	3424	3574	0	277	310	4995	3178	385	345
72	0	10000	2912	2084	4943	3386	3562	0	286	294	4943	3080	398	317
73	0	10000	2923	2092	4967	3440	3563	0	268	264	4967	3132	345	327
74	0	10000	2946	2128	4908	3511	3509	0	259	321	4908	3200	395	289
75	0	10000	2877	2139	4943	3454	3522	0	269	291	4943	3117	386	330
76	0	10000	2975	2168	5020	3396	3586	0	271	317	5020	3137	382	349
77	0	10000	2994	2139	4924	3507	3528	1	306	302	4924	3209	381	331
78	0	10000	3002	2207	4982	3466	3562	0	310	304	4982	3223	371	308
79	0	10000	2994	2172	4958	3452	3544	0	286	310	4958	3184	382	319
80	0	10000	2988	2193	4959	3466	3504	0	280	294	4959	3094	377	313
81	0	10000	3027	2134	4940	3451	3522	0	291	295	4940	3154	410	349
82	0	10000	2928	2106	4895	3488	3535	0	279	315	4895	3174	383	351
83	0	10000	2957	2127	4931	3474	3549	0	303	297	4931	3110	393	318
84	0	10000	2985	2145	5031	3378	3614	0	284	306	5031	3148	382	324
85	0	10000	2923	2182	4984	3462	3564	0	303	301	4984	3250	376	345
86	0	10000	2893	2132	4965	3427	3618	0	301	304	4965	3170	390	326
87	0	10000	2928	2134	4874	3431	3477	0	260	301	4874	3099	376	329
88	0	10000	2921	2130	4941	3486	3508	0	278	271	4941	3123	390	328
89	0	10000	2982	2191	4943	3440	3460	0	284	286	4943	3255	436	335
90	0	10000	2942	2124	4957	3388	3548	0	266	311	4957	3099	373	328
91	0	10000	2948	2081	4920	3530	3576	0	269	311	4920	3162	384	339
92	0	10000	2989	2182	4968	3349	3540	0	283	327	4968	3059	410	304
93	0	10000	2979	2196	5003	3396	3546	0	272	331	5003	3162	439	336
94	0	10000	2969	2162	4946	3474	3531	0	293	272	4946	3191	399	337
95	0	10000	3016	2118	4892	3534	3492	0	299	263	4892	3196	427	300
96	0	10000	2970	2116	4981	3374	3588	0	279	281	4981	3156	344	312
97	0	10000	2958	2215	5003	3405	3548	0	294	314	5003	3187	392	332
