Iteration	Cds	Chromosome	Downstream	Exon	Gene	Intergenic	Intron	RareAminoAcid	SpliceSiteAcceptor	SpliceSiteDonor	Transcript	Upstream	Utr3prime	Utr5prime
0	0	100000	29930	21459	49437	34402	35474	2	2908	3059	49437	31658	3818	3208
1	0	100000	29710	21722	49761	34387	35717	0	2965	3174	49761	31855	3896	3377
2	0	100000	29551	21535	49570	34402	35559	0	2953	3042	49570	31721	3878	3277
3	0	100000	29840	21636	49580	34353	35536	0	2978	3112	49580	31680	3981	3268
4	0	100000	29583	21278	49444	34162	35565	0	2800	2999	49444	31435	3855	3251
5	0	100000	29663	21484	49622	34489	35576	0	2926	3034	49622	31684	3888	3307
6	0	100000	29480	21493	49475	34290	35614	0	2963	3216	49475	31566	3746	3349
7	0	100000	29797	21420	49657	34262	35714	0	2945	3052	49657	31599	3822	3274
8	0	100000	29823	21422	49751	34092	35712	0	2917	3005	49751	31601	3865	3353
9	0	100000	29931	21667	49552	34326	35330	0	2837	3085	49552	31619	3920	3354
10	0	100000	29773	21485	49505	34623	35493	0	2885	3016	49505	31712	3951	3325
11	0	100000	29713	21601	49752	34411	35659	0	2969	3017	49752	31677	3780	3261
12	0	100000	29728	21354	49486	34352	35575	0	2972	2963	49486	31517	3809	3232
13	0	100000	29575	21528	49549	34184	35435	1	2856	2958	49549	31636	3920	3370
14	0	100000	29745	21790	49775	34192	35585	0	2922	3101	49775	31891	3954	3287
15	0	100000	29719	21782	49746	34284	35457	1	2920	2985	49746	31707	4063	3319
16	0	100000	29610	21570	49675	34411	35649	0	2954	3031	49675	31565	3886	3338
17	0	100000	29774	21615	49547	34242	35553	1	2952	3114	49547	31783	3859	3354
18	0	100000	29399	21626	49450	34383	35406	0	2918	3081	49450	31761	3672	3386
19	0	100000	29472	21391	49565	34564	35645	1	2844	2975	49565	31522	3933	3326
20	0	100000	29776	21430	49512	34366	35633	0	2916	3093	49512	31557	3820	3326
21	0	100000	29601	21363	49240	34633	35384	1	2986	3017	49240	31798	3852	3321
